source_row_id,source_domain,source_l4_id,final_l4_id,final_l1_id,final_l3_id,status
SRC-G-0188,General,RAI4-1474,G_SYS_INPUT_008,L1_G,G_SYS_INPUT,ACTIVE
SRC-G-0189,General,RAI4-1487,G_INT_UNETH_017,L1_G,G_INT_UNETH,ACTIVE
SRC-G-0190,General,RAI4-1492,G_SYS_SECADV_013,L1_G,G_SYS_SECADV,ACTIVE
SRC-G-0191,General,RAI4-1493,G_SYS_OEXT_016,L1_G,G_SYS_OEXT,ACTIVE
SRC-G-0192,General,RAI4-1499,G_SYS_EVAL_036,L1_G,G_SYS_EVAL,ACTIVE
SRC-G-0193,General,RAI4-1502,G_SYS_EVAL_027,L1_G,G_SYS_EVAL,ACTIVE
SRC-G-0194,General,RAI4-1504,G_Others_112,L1_G,G_Others,ACTIVE
SRC-G-0195,General,RAI4-1537,G_SYS_EVAL_015,L1_G,G_SYS_EVAL,ACTIVE
SRC-G-0196,General,RAI4-1544,G_SYS_OEXT_009,L1_G,G_SYS_OEXT,ACTIVE
SRC-G-0197,General,RAI4-1548,G_SYS_EVAL_035,L1_G,G_SYS_EVAL,ACTIVE
SRC-G-0198,General,RAI4-1551,G_Others_030,L1_G,G_Others,ACTIVE
SRC-G-0199,General,RAI4-1560,G_Others_020,L1_G,G_Others,ACTIVE
SRC-G-0200,General,RAI4-1705,G_SYS_TRANS_008,L1_G,G_SYS_TRANS,ACTIVE
SRC-G-0201,General,RAI4-0527,G_Others_032,L1_G,G_Others,ACTIVE
SRC-G-0202,General,RAI4-0674,G_SOC_CULT_002,L1_G,G_SOC_CULT,ACTIVE
SRC-G-0203,General,RAI4-0678,G_INT_VIOL_005,L1_G,G_INT_VIOL,ACTIVE
SRC-G-0204,General,RAI4-0705,G_INT_VIOL_010,L1_G,G_INT_VIOL,ACTIVE
SRC-G-0205,General,RAI4-0854,G_Others_087,L1_G,G_Others,ACTIVE
SRC-G-0206,General,RAI4-1049,G_Others_111,L1_G,G_Others,ACTIVE
SRC-G-0207,General,RAI4-1447,G_INT_VIOL_011,L1_G,G_INT_VIOL,ACTIVE
SRC-G-0208,General,RAI4-0641,G_INT_SEX_004,L1_G,G_INT_SEX,ACTIVE
SRC-G-0209,General,RAI4-0714,G_INT_SEX_008,L1_G,G_INT_SEX,ACTIVE
SRC-G-0210,General,RAI4-0718,G_INT_SEX_001,L1_G,G_INT_SEX,ACTIVE
SRC-G-0211,General,RAI4-1136,G_Others_130,L1_G,G_Others,ACTIVE
SRC-G-0212,General,RAI4-1542,G_Others_080,L1_G,G_Others,ACTIVE
SRC-G-0213,General,RAI4-0023,G_INT_SELF_009,L1_G,G_INT_SELF,ACTIVE
SRC-G-0214,General,RAI4-0157,G_INT_SELF_008,L1_G,G_INT_SELF,ACTIVE
SRC-G-0215,General,RAI4-0833,G_INT_SELF_002,L1_G,G_INT_SELF,ACTIVE
SRC-G-0216,General,RAI4-0411,G_Others_091,L1_G,G_Others,ACTIVE
SRC-G-0217,General,RAI4-0426,G_INT_REPR_004,L1_G,G_INT_REPR,ACTIVE
SRC-G-0218,General,RAI4-0706,G_INT_ALLOC_006,L1_G,G_INT_ALLOC,ACTIVE
SRC-G-0219,General,RAI4-0368,G_INT_VALUE_013,L1_G,G_INT_VALUE,ACTIVE
SRC-G-0220,General,RAI4-0403,G_INT_UNETH_002,L1_G,G_INT_UNETH,ACTIVE
